Flow id,Src IP,Dst IP,Dst port,Protocol,Application protocol,Duration,Received bytes,Received packets,Transmitted bytes,Transmitted packets,Total bytes,Total packets,label,family
-5319634107675304416,10.0.2.61,67.27.213.122,443,tcp,tls,16988,12516,34,4214,34,16730,68,normal,-
2861387976863130581,10.0.2.61,52.58.209.110,443,tcp,tls,341960,16120,46,6024,46,22144,92,normal,-
5117518646910500615,10.0.2.61,142.251.36.99,443,udp,-,2092,136126,122,16451,55,152577,177,normal,-
-8767155577764366670,10.0.2.61,35.186.224.25,443,udp,-,7644,93292,125,30040,116,123332,241,normal,-
269883690732767021,10.0.2.61,142.251.36.131,443,udp,-,2418,21095,70,15038,49,36133,119,normal,-
3189718125341848386,10.0.2.61,216.239.34.36,443,udp,-,11946,28612,58,16850,43,45462,101,normal,-
-2009576981648452092,10.0.2.61,204.79.197.203,80,tcp,http,17644,5238,12,1666,14,6904,26,normal,-
5049687654511244548,10.0.2.61,142.251.37.99,443,udp,-,12155,43355,73,16172,54,59527,127,normal,-
4420138053275030432,10.0.2.61,142.251.36.118,443,udp,-,544,11964,16,5237,13,17201,29,normal,-
4931200872131441186,10.0.2.61,142.251.37.98,443,udp,-,2612,237473,214,22448,119,259921,333,normal,-
-1785177512338600377,10.0.2.61,35.186.224.17,443,udp,-,4299,17324,39,38420,56,55744,95,normal,-
-3408037879887854964,10.0.2.61,104.16.85.20,443,udp,-,316,10688,20,3662,10,14350,30,normal,-
-2437855498982051817,10.0.2.61,162.159.152.17,443,udp,-,800,16904,30,4520,20,21424,50,normal,-
-6994096471093906363,10.0.2.61,35.244.174.68,443,udp,-,526,15068,16,3806,12,18874,28,normal,-
-4402039780638185677,10.0.2.61,142.251.36.98,443,udp,-,1369,85943,85,11873,58,97816,143,normal,-
-221743519977771677,10.0.2.61,142.251.36.132,443,udp,-,9836,71750,173,52835,125,124585,298,normal,-
-5670575446589606187,10.0.2.61,188.114.96.3,443,udp,-,1852,68730,74,15271,42,84001,116,normal,-
2567020990899801544,10.0.2.61,188.114.96.3,80,tcp,-,16062,540,9,708,12,1248,21,normal,-
-2097536389293303989,10.0.2.61,157.240.30.27,443,udp,-,3781,789548,664,29485,217,819033,881,normal,-
-2851565822049752590,10.0.2.61,142.251.36.74,443,udp,-,4187,35143,52,9629,37,44772,89,normal,-
8493259588785178536,10.0.2.61,65.9.94.80,80,tcp,http,223700,3804,30,2634,32,6438,62,normal,-
-2581485033826863211,10.0.2.61,142.250.27.156,443,udp,-,630,14464,16,3806,12,18270,28,normal,-
-1535045959841231934,10.0.2.61,142.251.36.80,443,udp,-,404,13986,16,3964,14,17950,30,normal,-
1367953323323228124,10.0.2.61,104.21.235.45,443,udp,-,4934,53940,80,11226,44,65166,124,normal,-
-1544743319516408955,10.0.2.61,142.251.36.72,443,udp,-,5818,715962,546,26525,179,742487,725,normal,-
7795832164062510938,10.0.2.61,142.250.102.157,443,udp,-,324,4524,8,3258,6,7782,14,normal,-
-5531721657889794723,10.0.2.61,34.98.74.57,443,udp,-,453,15631,18,5782,19,21413,37,normal,-
7160148975156520915,10.0.2.61,54.73.148.110,80,tcp,-,25264,1348,12,1814,15,3162,27,normal,-
1558333177797157767,10.0.2.61,65.9.92.135,443,udp,-,31573,638723,489,38061,201,676784,690,normal,-
-6854823510654395704,10.0.2.61,157.240.30.54,443,udp,-,20843,991909,845,41350,173,1033259,1018,normal,-
