type,key,value,reliability,validity,details
ip_dependency_client,192.168.3.70,192.168.55.104,1,"[""2023-03-10 18:25:59"",""2023-03-10 18:26:19""]","{""src"": ""dependency_mapping"", ""port"": ""9080"", ""num_packets"": 61}"
ip_dependency_server,192.168.111.19,192.168.3.70,1,"[""2023-03-10 18:25:54"",""2023-03-10 18:26:14""]","{""src"": ""dependency_mapping"", ""port"": ""9080"", ""num_packets"": 74}"
ip_dependency_client,192.168.3.70,192.168.111.19,1,"[""2023-03-10 18:25:54"",""2023-03-10 18:26:14""]","{""src"": ""dependency_mapping"", ""port"": ""9080"", ""num_packets"": 74}"
ip_dependency_server,192.168.111.19,192.168.3.70,1,"[""2023-03-10 18:25:55"",""2023-03-10 18:26:15""]","{""src"": ""dependency_mapping"", ""port"": ""9080"", ""num_packets"": 75}"
ip_dependency_client,192.168.3.70,192.168.111.19,1,"[""2023-03-10 18:25:55"",""2023-03-10 18:26:15""]","{""src"": ""dependency_mapping"", ""port"": ""9080"", ""num_packets"": 75}"
ip_dependency_server,192.168.55.117,192.168.3.70,1,"[""2023-03-10 18:25:55"",""2023-03-10 18:25:55""]","{""src"": ""dependency_mapping"", ""port"": ""443"", ""num_packets"": 81}"
ip_dependency_client,192.168.3.70,192.168.55.117,1,"[""2023-03-10 18:25:55"",""2023-03-10 18:25:55""]","{""src"": ""dependency_mapping"", ""port"": ""443"", ""num_packets"": 81}"
ip_dependency_server,192.168.55.119,192.168.3.70,1,"[""2023-03-10 18:26:00"",""2023-03-10 18:26:20""]","{""src"": ""dependency_mapping"", ""port"": ""9080"", ""num_packets"": 74}"
ip_dependency_client,192.168.3.70,192.168.55.119,1,"[""2023-03-10 18:26:00"",""2023-03-10 18:26:20""]","{""src"": ""dependency_mapping"", ""port"": ""9080"", ""num_packets"": 74}"
ip_dependency_server,20.31.196.184,10.100.28.29,1,"[""2023-03-10 18:25:59"",""2023-03-10 18:25:59""]","{""src"": ""dependency_mapping"", ""port"": ""443"", ""num_packets"": 29}"
ip_dependency_client,10.100.28.29,20.31.196.184,1,"[""2023-03-10 18:25:59"",""2023-03-10 18:25:59""]","{""src"": ""dependency_mapping"", ""port"": ""443"", ""num_packets"": 29}"
ip_dependency_server,192.168.55.119,192.168.3.70,1,"[""2023-03-10 18:25:56"",""2023-03-10 18:25:56""]","{""src"": ""dependency_mapping"", ""port"": ""443"", ""num_packets"": 49}"
ip_dependency_client,192.168.3.70,192.168.55.119,1,"[""2023-03-10 18:25:56"",""2023-03-10 18:25:56""]","{""src"": ""dependency_mapping"", ""port"": ""443"", ""num_packets"": 49}"
ip_dependency_server,192.168.55.105,192.168.3.70,1,"[""2023-03-10 18:25:57"",""2023-03-10 18:26:17""]","{""src"": ""dependency_mapping"", ""port"": ""9080"", ""num_packets"": 75}"
ip_dependency_client,192.168.3.70,192.168.55.105,1,"[""2023-03-10 18:25:57"",""2023-03-10 18:26:17""]","{""src"": ""dependency_mapping"", ""port"": ""9080"", ""num_packets"": 75}"
ip_dependency_server,10.100.32.141,10.100.30.242,1,"[""2023-03-10 18:26:02"",""2023-03-10 18:26:02""]","{""src"": ""dependency_mapping"", ""port"": ""1234"", ""num_packets"": 279}"
