App,Jas3,Host,Sni,Subject
firefox,,video-edge-75dc8d.pdx01.abs.hls.ttvnw.net,,
firefox,579CCEF312D18482FC42E2B822CA2430,prod.content-signature-chains.prod.webservices.mozgcp.net,content-signature-2.cdn.mozilla.net,
firefox,579CCEF312D18482FC42E2B822CA2430,prod-classifyclient.normandy.prod.cloudops.mozgcp.net,classify-client.services.mozilla.com,
firefox,,,,
firefox,579CCEF312D18482FC42E2B822CA2430,clips-media-assets2.twitch.tv,clips-media-assets2.twitch.tv,
firefox,,p.twitchcdn.net,,
firefox,,k.twitchcdn.net,,
firefox,579CCEF312D18482FC42E2B822CA2430,video-edge-2357fa.prg03.abs.hls.ttvnw.net,video-edge-2357fa.prg03.abs.hls.ttvnw.net,
firefox,579CCEF312D18482FC42E2B822CA2430,passport.twitch.tv,passport.twitch.tv,
firefox,579CCEF312D18482FC42E2B822CA2430,static.twitchcdn.net,static.twitchcdn.net,
firefox,579CCEF312D18482FC42E2B822CA2430,k.twitchcdn.net,www.twitch.tv,
firefox,579CCEF312D18482FC42E2B822CA2430,static.twitchcdn.net,static.twitchcdn.net,
firefox,579CCEF312D18482FC42E2B822CA2430,k.twitchcdn.net,gql.twitch.tv,
firefox,579CCEF312D18482FC42E2B822CA2430,clips-media-assets2.twitch.tv,clips-media-assets2.twitch.tv,
firefox,579CCEF312D18482FC42E2B822CA2430,clips-media-assets2.twitch.tv,clips-media-assets2.twitch.tv,
firefox,,instagram.com,,
firefox,579CCEF312D18482FC42E2B822CA2430,video-weaver.prg03.hls.ttvnw.net,video-weaver.prg03.hls.ttvnw.net,
firefox,,clips-media-assets2.twitch.tv,,
firefox,579CCEF312D18482FC42E2B822CA2430,static.twitchcdn.net,static.twitchcdn.net,
firefox,,static.twitchcdn.net,,
firefox,,,,
firefox,,static.twitchcdn.net,,
firefox,579CCEF312D18482FC42E2B822CA2430,static.twitchcdn.net,static.twitchcdn.net,
firefox,579CCEF312D18482FC42E2B822CA2430,static.twitchcdn.net,static.twitchcdn.net,
firefox,C279B0189EDB9269DA7BC43DEA5E0C36,static.twitchcdn.net,static.twitchcdn.net,
firefox,,d2v02itv0y9u9t.cloudfront.net,,
firefox,C279B0189EDB9269DA7BC43DEA5E0C36,k.twitchcdn.net,gql.twitch.tv,
firefox,579CCEF312D18482FC42E2B822CA2430,k.twitchcdn.net,gql.twitch.tv,
firefox,579CCEF312D18482FC42E2B822CA2430,k.twitchcdn.net,gql.twitch.tv,
firefox,579CCEF312D18482FC42E2B822CA2430,static.twitchcdn.net,static.twitchcdn.net,
firefox,,sb.scorecardresearch.com,,
firefox,579CCEF312D18482FC42E2B822CA2430,instagram.com,www.instagram.com,
firefox,,prod-classifyclient.normandy.prod.cloudops.mozgcp.net,,
firefox,,prod.ingestion-edge.prod.dataops.mozgcp.net,,
firefox,,sb.scorecardresearch.com,,
firefox,,d186rixkn5ruba.cloudfront.net,,
firefox,579CCEF312D18482FC42E2B822CA2430,video-edge-2357fa.prg03.abs.hls.ttvnw.net,video-edge-2357fa.prg03.abs.hls.ttvnw.net,
firefox,,d2v02itv0y9u9t.cloudfront.net,,
firefox,579CCEF312D18482FC42E2B822CA2430,video-weaver.prg03.hls.ttvnw.net,video-weaver.prg03.hls.ttvnw.net,
firefox,E669667EFB41C36F714C309243F41CA7,j.clarity.ms,j.clarity.ms,a.clarity.ms
firefox,,instagram.com,,
firefox,,video-edge-75dc8d.pdx01.abs.hls.ttvnw.net,,
firefox,,,,
firefox,,firefox.settings.services.mozilla.com,,
firefox,579CCEF312D18482FC42E2B822CA2430,video-edge-2357fa.prg03.abs.hls.ttvnw.net,video-edge-2357fa.prg03.abs.hls.ttvnw.net,
firefox,579CCEF312D18482FC42E2B822CA2430,video-weaver.prg03.hls.ttvnw.net,video-weaver.prg03.hls.ttvnw.net,
firefox,FBCC1D86F1211D29DCA4858F89E44997,prod.ingestion-edge.prod.dataops.mozgcp.net,incoming.telemetry.mozilla.org,
firefox,,video-edge-75dc8d.pdx01.abs.hls.ttvnw.net,,
firefox,,prod.content-signature-chains.prod.webservices.mozgcp.net,,
firefox,,prod-classifyclient.normandy.prod.cloudops.mozgcp.net,,
firefox,579CCEF312D18482FC42E2B822CA2430,video-edge-2357fa.prg03.abs.hls.ttvnw.net,video-edge-2357fa.prg03.abs.hls.ttvnw.net,
firefox,,,,
firefox,579CCEF312D18482FC42E2B822CA2430,video-weaver.prg03.hls.ttvnw.net,video-weaver.prg03.hls.ttvnw.net,
firefox,E669667EFB41C36F714C309243F41CA7,vmss-clarity-ingest-eus2-d.eastus2.cloudapp.azure.com,j.clarity.ms,a.clarity.ms
firefox,,,,
firefox,C279B0189EDB9269DA7BC43DEA5E0C36,d186rixkn5ruba.cloudfront.net,static-cdn.jtvnw.net,
firefox,579CCEF312D18482FC42E2B822CA2430,video-edge-2357fa.prg03.abs.hls.ttvnw.net,video-edge-2357fa.prg03.abs.hls.ttvnw.net,
firefox,,,,
firefox,C279B0189EDB9269DA7BC43DEA5E0C36,static.twitchcdn.net,static.twitchcdn.net,
firefox,C279B0189EDB9269DA7BC43DEA5E0C36,gql.twitch.tv,gql.twitch.tv,
firefox,C279B0189EDB9269DA7BC43DEA5E0C36,video-edge-2357fa.prg03.abs.hls.ttvnw.net,video-edge-2357fa.prg03.abs.hls.ttvnw.net,
firefox,579CCEF312D18482FC42E2B822CA2430,video-weaver.prg03.hls.ttvnw.net,video-weaver.prg03.hls.ttvnw.net,
firefox,,d186rixkn5ruba.cloudfront.net,,
firefox,,,,
firefox,,,,
firefox,C279B0189EDB9269DA7BC43DEA5E0C36,static.twitchcdn.net,static.twitchcdn.net,
firefox,C279B0189EDB9269DA7BC43DEA5E0C36,video-edge-2357fa.prg03.abs.hls.ttvnw.net,video-edge-2357fa.prg03.abs.hls.ttvnw.net,
firefox,579CCEF312D18482FC42E2B822CA2430,video-weaver.prg03.hls.ttvnw.net,video-weaver.prg03.hls.ttvnw.net,
firefox,C279B0189EDB9269DA7BC43DEA5E0C36,gql.twitch.tv,gql.twitch.tv,
firefox,,d186rixkn5ruba.cloudfront.net,,
firefox,,,,
firefox,,d186rixkn5ruba.cloudfront.net,,
